Old_Name,New_Name,Copy_Length,Start_Copy
c01_20210130063213.mp4,c01_20210130063213_E1.mp4,407,3670
c01_20210131062134.mp4,c01_20210131062134_E1.mp4,407,6704
c01_20210202062315.mp4,c01_20210202062315_E1.mp4,407,1682
c01_20210203062229.mp4,c01_20210203062229_E1.mp4,407,7848
c01_20210204062142.mp4,c01_20210204062142_E1.mp4,407,1615
c01_20210205062047.mp4,c01_20210205062047_E1.mp4,407,11768
c01_20210206062651.mp4,c01_20210206062651_E1.mp4,407,5859
c01_20210207062207.mp4,c01_20210207062207_E1.mp4,407,3989
c01_20210208061745.mp4,c01_20210208061745_E1.mp4,407,9233
c01_20210209062258.mp4,c01_20210209062258_E1.mp4,407,2645
c01_20210211062434.mp4,c01_20210211062434_E1.mp4,407,627
c01_20210212062230.mp4,c01_20210212062230_E1.mp4,407,3437
c01_20210130081629.mp4,c01_20210130081629_E1.mp4,389,4440
c01_20210201082747.mp4,c01_20210201082747_E1.mp4,389,5984
c01_20210202083021.mp4,c01_20210202083021_E1.mp4,389,2808
c01_20210203082724.mp4,c01_20210203082724_E1.mp4,389,4921
c01_20210204082651.mp4,c01_20210204082651_E1.mp4,389,871
c01_20210205082645.mp4,c01_20210205082645_E1.mp4,389,5160
c01_20210206081417.mp4,c01_20210206081417_E1.mp4,389,8498
c01_20210208081743.mp4,c01_20210208081743_E1.mp4,389,16910
c01_20210209082624.mp4,c01_20210209082624_E1.mp4,389,4021
c01_20210210081914.mp4,c01_20210210081914_E1.mp4,389,13915
c01_20210211081838.mp4,c01_20210211081838_E1.mp4,389,10887
c01_20210212082357.mp4,c01_20210212082357_E1.mp4,389,3219
c01_20210213081058.mp4,c01_20210213081058_E1.mp4,389,4258
c01_20210215082051.mp4,c01_20210215082051_E1.mp4,389,7332
c01_20210216082645.mp4,c01_20210216082645_E1.mp4,389,5084
c01_20210217082447.mp4,c01_20210217082447_E1.mp4,389,7481
c01_20210218082402.mp4,c01_20210218082402_E1.mp4,389,7133
c01_20210219082030.mp4,c01_20210219082030_E1.mp4,389,10971
c01_20210220081813.mp4,c01_20210220081813_E1.mp4,389,4805
c01_20210222082445.mp4,c01_20210222082445_E1.mp4,389,8530
c01_20210223082742.mp4,c01_20210223082742_E1.mp4,389,430
c01_20210225082210.mp4,c01_20210225082210_E1.mp4,389,11953
c01_20210226082213.mp4,c01_20210226082213_E1.mp4,389,7891
